Topic,Count,Name,Representation,Representative_Docs
181,108,181_alweer_geleden_tijd_maanden,"['alweer', 'geleden', 'tijd', 'maanden', 'volgens', 'enige', 'bloedonderzoek', 'toetsen', 'behoorlijke', 'laatste']","['Het is alweer bijna een jaar geleden dat ik een bloed heb geprikt en 2 jaar een darmonderzoek heb gehad.', 'Het is volgens mij alweer een tijd geleden dat ik bloed heb laten prikken.', 'Het is ondertussen alweer enige tijd geleden dat we contact gehad hebben.']"
182,59,182_evenmin_hevige_ziekenhuizen_vermoeiend,"['evenmin', 'hevige', 'ziekenhuizen', 'vermoeiend', 'aantal', 'raars', 'pfeiffer', 'zenuwpijnen', 'drukt', 'overgegeven']","['Ik weet niet of ik het me goed herinner maar was dat niet omdat ik niet de ziekte van Pfeiffer had gehad en je dat medicijn alleen kunt gebruiken als je wel de ziekte van Pfeiffer hebt gehad?', 'Ik denk nog steeds aan de conditie van mijn hart (waarvan de cardioloog nu ook niet meer weet waarom ik klachten blijf houden) en aan de hevige zenuwpijnen die ik nu een aantal keer dit jaar heb gehad (en waar evenmin een verklaring voor is gevonden).', 'Ik denk nog steeds aan de conditie van mijn hart (waarvan de cardioloog nu ook niet meer weet waarom ik klachten blijf houden) en aan de hevige zenuwpijnen die ik nu een aantal keer dit jaar heb gehad (en waar evenmin een verklaring voor is gevonden).']"
183,102,183_thuistesten_thuis_injectie_pen,"['thuistesten', 'thuis', 'injectie', 'pen', 'testen', 'aanstaande', 'gezet', 'keizersnede', 'inzetten', 'volgende']","['Volgende pen de maandag tijdens mijn vakantie, dit betekent dat ik bloed kan laten prikken op maandag 3 februari voordat ik de volgende pen Humira zet.', 'Aanstaande zaterdag moet ik weer mijn Humira injectie plaatsen en over twee weken krijg ik mijn tweede vaccinatie.', 'nu moet ik aanstaande zaterdag mijn humira injectie zetten mag ik dat doen en maandag de 15e moet ik na de huisarts die gaat er een injectie  inzetten.']"
184,47,184_hoor_graag_jullie_voicemail,"['hoor', 'graag', 'jullie', 'voicemail', 'je', 'van', 'hooft', 'medicijnverklaring', 'organiseren', 'mislopen']","['Ik hoor het graag van jullie.', 'Ik hoor graag van jullie,', 'graag hoor ik van jullie']"
185,51,185_dank_je_bericht_jouw,"['dank', 'je', 'bericht', 'jouw', 'antwoord', 'voor', 'theunisz', 'hoogst', 'reactie', 'steun']","['Dank voor je bericht.', 'Dank voor je bericht.', 'dank voor je bericht.']"
186,80,186_geprikt_mensen_ijzerinfuus_reageren,"['geprikt', 'mensen', 'ijzerinfuus', 'reageren', 'risicogroep', 'bloedwaarde', 'slikken', 'prikkelen', 'bijvoorbeeld', 'behoor']","['Moet er misschien ook nog bloed geprikt worden?', 'Waarom daar op geprikt wordt?', 'Misschien kan er dan ook op bovenstaand geprikt worden.']"
187,40,187_geboortedatum_datum_geboorte_vriendlijke,"['geboortedatum', 'datum', 'geboorte', 'vriendlijke', '04', '1976', 'verzameling', '1964', 'uitgerekende', 'overmacht']","['geboortedatum is: .', 'De geboortedatum is .', 'De geboortedatum is .']"
188,76,188_toegenomen_patroon_stuk_langzaamaan,"['toegenomen', 'patroon', 'stuk', 'langzaamaan', 'beter', 'vrijwel', 'prikkelbare', 'latijn', 'nacht', 'traag']","['Aleen misschien de vermoeidheid is wat toegenomen maar dat wisselt.', 'Ik voel me op dit moment weer een stuk beter en met mijn darmen gaat het goed, ontlasting patroon is ook prima.', 'Het ging met de IBD de laatste weken best goed, maar aan einde van de nacht en in de ochtend kwam dit vrij plotseling opzetten.']"
189,48,189_hoor_tekst_nederland_correctie,"['hoor', 'tekst', 'nederland', 'correctie', 'max', 'keren', 'wel', '2013', 'graat', 'automatische']","['Ik hoor het graag :)', 'Ik hoor het graag :)', 'Ik hoor het graag :)']"
190,70,190_uitstellen_meten_stoppen_voorafgaand,"['uitstellen', 'meten', 'stoppen', 'voorafgaand', 'centrum', 'vergoed', 'vaccineren', 'medisch', 'mocht', 'haaruitval']","['Moet ik deze maand dan nog wel een test afgeven nu ik tijdelijk stop met ivf of is in augustus bij het nieuwe infuus ook voldoende?', 'Is het mogelijk om weer een recept voor macrogol te krijgen (mag gefaxt worden naar de apotheek van medisch centrum  /) dat heb ik al vaker gehad en is wellicht wel weer een optie.', 'Is het ook mogelijk om de ontlasting te brengen om de Calprotectine te laten meten om te kijken of de ontstekingswaarden inderdaad wel zakken.']"
