Topic,Count,Name,Representation
95,89,95_urine_nier_uroloog_kweek,"['urine', 'nier', 'uroloog', 'kweek', 'nieren', 'urinekweek', 'urineweginfectie', 'gecontroleerd', 'niersteen', 'nierfunctie']"
96,156,96_zorgen_bang_ongerust_behoor,"['zorgen', 'bang', 'ongerust', 'behoor', 'risicogroep', 'begin', 'angst', 'onzekerheid', 'best', 'schrok']"
97,206,97_spuit_spuiten_vloeistof_zetten,"['spuit', 'spuiten', 'vloeistof', 'zetten', 'gezet', 'infuus', 'leveren', 'hyrimoz', 'stoppen', 'naald']"
98,189,98_groetjes_groeten_hallo_will,"['groetjes', 'groeten', 'hallo', 'will', 'vriendelijke', 'groet', 'geachte', 'hoi', 'afwachting', 'avond']"
99,206,99_akkoord_duidelijk_klopt_snap,"['akkoord', 'duidelijk', 'klopt', 'snap', 'toestemming', 'helemaal', 'geef', 'okay', 'uiteraard', 'beste']"
100,120,100_fax_faxnummer_hum_nummer,"['fax', 'faxnummer', 'hum', 'nummer', 'groet', 'tel', 'telefoonnummer', 'vriendelijke', 'hgl', 'telefoon']"
101,195,101_werk_werken_thuis_werkgever,"['werk', 'werken', 'thuis', 'werkgever', 'baan', 'fulltime', 'onderwijs', 'uren', 'stage', 'woon']"
102,115,102_sorry_excuses_late_ongemak,"['sorry', 'excuses', 'late', 'ongemak', 'overlast', 'jammer', 'vele', 'lastig', 'reactie', 'helaas']"
103,317,103_gebeld_telefonisch_contact_telefonische,"['gebeld', 'telefonisch', 'contact', 'telefonische', 'vandaag', 'bellen', 'morgen', 'gisteren', 'terugbellen', 'vorige']"
104,87,104_gynaecoloog_gyneacoloog_gynaecologie_gyneacologie,"['gynaecoloog', 'gyneacoloog', 'gynaecologie', 'gyneacologie', 'verloskundige', 'verwijzing', 'echo', 'uroloog', 'doorverwezen', 'behandeld']"
105,106,105_verzekering_zorgverzekering_aanvraag_risico,"['verzekering', 'zorgverzekering', 'aanvraag', 'risico', 'medisch', 'zorgverzekeraar', 'gegevens', 'kosten', 'gezondheidscheck', 'hypotheek']"
