model_name,combination,min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,weighted_avg_sim,unweighted_avg_sim,document_coverage,number_of_topics
mpnet,"(10, 7, 20)",10,7,20,0.5735849056603773,0.3578061751047927,0.6676825769691924,0.72829497,0.6211726938884701,477
mpnet,"(10, 7, 30)",10,7,30,0.5770454545454545,0.35877705597309945,0.6769837276999718,0.7335137,0.5812641358009679,440
mpnet,"(10, 7, 40)",10,7,40,0.5799498746867168,0.3556163757274423,0.6725370360275802,0.7359249,0.5865901408108174,399
mpnet,"(15, 5, 10)",15,5,10,0.6029569892473118,0.36070761918541383,0.6396443979676495,0.70511097,0.6823366327002116,372
mpnet,"(15, 5, 20)",15,5,20,0.6033519553072626,0.35746462366989606,0.6679520776653138,0.72018033,0.5835988229285731,358
mpnet,"(15, 5, 30)",15,5,30,0.5984375,0.35902905467687773,0.6657496981822697,0.7230147,0.5766434008609159,320
mpnet,"(15, 5, 40)",15,5,40,0.6030927835051546,0.3574609999487971,0.6540638132873516,0.7261261,0.5956370534302877,291
mpnet,"(15, 7, 10)",15,7,10,0.6016304347826087,0.35906070182582994,0.6334795464342146,0.7124332,0.6997738271845132,368
mpnet,"(15, 7, 20)",15,7,20,0.6005698005698006,0.3584534770188376,0.6638319546353604,0.721183,0.5957829713757631,351
mpnet,"(15, 7, 30)",15,7,30,0.6068852459016394,0.3530735015311639,0.6510502025744721,0.7181631,0.627982198010652,305
mpnet,"(15, 7, 40)",15,7,40,0.604225352112676,0.35293684028905986,0.6494482907025344,0.7258909,0.6145820666845011,284
mpnet,"(15, 10, 10)",15,10,10,0.6030054644808743,0.35564696158921955,0.6343135135239816,0.7109162,0.6938398307351833,366
mpnet,"(15, 10, 20)",15,10,20,0.6005952380952381,0.36017069604060853,0.6606002483344658,0.7184253,0.6131958462024855,336
mpnet,"(15, 10, 30)",15,10,30,0.600920245398773,0.3559438068199807,0.6664719179277685,0.7221173,0.5759867701062769,326
mpnet,"(15, 10, 40)",15,10,40,0.6056140350877193,0.3552522415286519,0.65082821386094,0.72802275,0.6074807266713684,285
mpnet,"(15, 15, 10)",15,15,10,0.597872340425532,0.3574812941235149,0.645762216304705,0.709676,0.6612028502638683,376
mpnet,"(15, 15, 20)",15,15,20,0.5988636363636364,0.361133442574134,0.6673786480307797,0.72158366,0.5832826673800433,352
mpnet,"(15, 15, 30)",15,15,30,0.5930722891566265,0.355894462688987,0.6703274198290996,0.7244007,0.5669155378292273,332
mpnet,"(15, 15, 40)",15,15,40,0.6096551724137931,0.3568368111282077,0.6513881095264961,0.729504,0.5926214158904642,290
mpnet,"(20, 7, 10)",20,7,10,0.6375,0.357449958000676,0.6252353774993135,0.6919854,0.6881003915464871,280
mpnet,"(20, 7, 20)",20,7,20,0.6223484848484848,0.35826057682892676,0.6404164349930236,0.70557547,0.6359590456966366,264
mpnet,"(20, 7, 30)",20,7,30,0.6360995850622406,0.35658130426434215,0.6410984761238483,0.7037418,0.6337945961720859,241
mpnet,"(20, 7, 40)",20,7,40,0.6299145299145299,0.3549435576157871,0.6448629015517596,0.7106793,0.6023492789221527,234
mpnet,"(25, 5, 10)",25,5,10,0.6602620087336245,0.35307688802852194,0.6197298500002387,0.66756535,0.6845497215399207,229
mpnet,"(25, 5, 20)",25,5,20,0.6665071770334928,0.3571444452560793,0.6341656910583205,0.68652207,0.620613341764148,209
mpnet,"(25, 5, 30)",25,5,30,0.6571428571428571,0.36870579241601925,0.635894009951715,0.6892281,0.605121719886184,196
mpnet,"(25, 5, 40)",25,5,40,0.6602150537634408,0.36144052732737775,0.6363464236332941,0.6918484,0.5918188671903499,186
mpnet,"(25, 7, 10)",25,7,10,0.6656521739130434,0.3610898248844007,0.6250691030195131,0.6714723,0.6760378413871933,230
mpnet,"(25, 7, 20)",25,7,20,0.6650943396226415,0.3618767667129603,0.6321062719578093,0.68611866,0.6325299739779664,212
mpnet,"(25, 7, 30)",25,7,30,0.6553846153846153,0.3622154970587009,0.6378785355324241,0.6874478,0.6038327780344853,195
mpnet,"(25, 7, 40)",25,7,40,0.676536312849162,0.3610608049872856,0.6354319983299381,0.6854181,0.5951020209635448,179
mpnet,"(25, 10, 10)",25,10,10,0.6553648068669528,0.35724408362760873,0.6320438479849126,0.6736191,0.6450789172888446,233
mpnet,"(25, 10, 20)",25,10,20,0.6583333333333333,0.3672557243066081,0.6331369946276667,0.6851739,0.6232398647827039,204
mpnet,"(25, 10, 30)",25,10,30,0.6549222797927461,0.3647359586813476,0.6347089392269436,0.688577,0.6096694958534984,193
mpnet,"(25, 10, 40)",25,10,40,0.6581151832460733,0.3657160095789297,0.6384232670582681,0.6929032,0.5852525596439602,191
mpnet,"(25, 15, 10)",25,15,10,0.6547945205479452,0.362546727821746,0.6211320169977605,0.67165595,0.6645346433522216,219
mpnet,"(25, 15, 20)",25,15,20,0.6558139534883721,0.3647234740228062,0.6361571183274664,0.68673694,0.6161628444271504,215
mpnet,"(25, 15, 30)",25,15,30,0.6546341463414634,0.36511015329909974,0.6386182509232132,0.6923745,0.6078455215350568,205
mpnet,"(25, 15, 40)",25,15,40,0.6701086956521739,0.36649370763798944,0.6352775322885046,0.68702054,0.5902380894477006,184
mpnet,"(30, 7, 10)",30,7,10,0.6706185567010309,0.3659942028771899,0.6184797251521401,0.66625184,0.6611055716335514,194
mpnet,"(30, 7, 20)",30,7,20,0.6567415730337078,0.37173497940606764,0.6307179180871346,0.6828877,0.6057297113256646,178
mpnet,"(30, 7, 30)",30,7,30,0.6526627218934912,0.37646685495093146,0.6304832218481567,0.68283266,0.5985554123397943,169
mpnet,"(30, 7, 40)",30,7,40,0.6575,0.3706409702175804,0.6282855645611526,0.6838339,0.5944940295240643,160
mpnet,"(35, 5, 10)",35,5,10,0.6644970414201183,0.36038462788934467,0.6174651085669431,0.6511602,0.6359833653542158,169
mpnet,"(35, 5, 20)",35,5,20,0.6789808917197452,0.3671150422889585,0.6264076406133303,0.67341924,0.5877818040321993,157
mpnet,"(35, 5, 30)",35,5,30,0.662,0.3704554377664653,0.6227973065223418,0.673347,0.6057540309832438,150
mpnet,"(35, 5, 40)",35,5,40,0.6724137931034483,0.373229382442723,0.6254817867915591,0.6787403,0.5838906588195238,145
mpnet,"(35, 7, 10)",35,7,10,0.6729411764705883,0.36514597828975964,0.6201370115767605,0.6580365,0.6139011162722828,170
mpnet,"(35, 7, 20)",35,7,20,0.6796052631578947,0.36941324196636705,0.6260577928757574,0.66946584,0.6000389114521267,152
mpnet,"(35, 7, 30)",35,7,30,0.6612903225806451,0.37434817136498977,0.6284254133827297,0.6802171,0.5868576570441888,155
mpnet,"(35, 7, 40)",35,7,40,0.6734265734265734,0.3769297394608597,0.6237311529806792,0.6767593,0.5837447408740485,143
mpnet,"(35, 10, 10)",35,10,10,0.65875,0.3739601234005149,0.6169104365430227,0.65907633,0.6231912254675455,160
mpnet,"(35, 10, 20)",35,10,20,0.6699346405228758,0.37322413802667104,0.6227102417844702,0.6725917,0.6029815900192125,153
mpnet,"(35, 10, 30)",35,10,30,0.6648275862068965,0.3686565151300514,0.6221510053565347,0.67383087,0.5982635764488436,145
mpnet,"(35, 10, 40)",35,10,40,0.6746478873239437,0.37372615174155205,0.6250937033523732,0.6768291,0.5807777426493835,142
mpnet,"(35, 15, 10)",35,15,10,0.6701863354037267,0.3662397739766054,0.6106969756227301,0.6566877,0.6489214231863616,161
mpnet,"(35, 15, 20)",35,15,20,0.6655629139072847,0.37600022088125856,0.6228143587464584,0.67309904,0.6062404241348281,151
mpnet,"(35, 15, 30)",35,15,30,0.6751677852348993,0.3663145166847937,0.6218658120531936,0.67848474,0.6073834480410516,149
mpnet,"(35, 15, 40)",35,15,40,0.6778571428571428,0.37350658672497783,0.6228749823078357,0.6781087,0.5876115664291447,140
