min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,npmi,doc_assignment_pct,number_of_topics,model_name,run_id,chunk_id
25,5,10,0.6396143029329048,0.4217012510733575,-0.1004643332143693,0.6203798392987582,249,qwen3,run_001,7
25,5,20,0.6384615384615384,0.4232248703236937,-0.0819466553443346,0.6015826637448259,221,qwen3,run_001,7
25,5,30,0.6365007541478129,0.4316318950847126,-0.070652374965463,0.5802532261991722,199,qwen3,run_001,7
25,5,40,0.653968253968254,0.4367329962782993,-0.0688230483058032,0.552690528366204,189,qwen3,run_001,7
25,5,50,0.6540983606557377,0.4354057997530453,-0.0654419639126293,0.5495252008765522,183,qwen3,run_001,7
25,7,10,0.6387043189368771,0.4227175050005427,-0.096476919572563,0.6288531775018261,241,qwen3,run_001,8
25,7,20,0.6429872495446266,0.4240788769580222,-0.0846780958797029,0.5847333820306794,220,qwen3,run_001,8
25,7,30,0.639,0.4325774341788355,-0.0691967915524452,0.574190406622839,200,qwen3,run_001,8
25,7,40,0.6517587939698493,0.428079657261826,-0.0729448366180083,0.5546140735329924,199,qwen3,run_001,8
25,7,50,0.659346545259775,0.4374892600849345,-0.0691413108948341,0.549963476990504,187,qwen3,run_001,8
25,10,10,0.6353820598006644,0.4231541342194665,-0.0956523758741504,0.6388117847577307,241,qwen3,run_001,8
25,10,20,0.6390697674418605,0.4314541619070976,-0.0782423201033554,0.5912588263939615,215,qwen3,run_001,8
25,10,30,0.6473761647866602,0.4245141942968747,-0.0733815271289167,0.5715607499391283,204,qwen3,run_001,8
25,10,40,0.6528795811518324,0.4301669776846769,-0.0728755762975297,0.5668858047236426,191,qwen3,run_001,8
25,10,50,0.6620320855614973,0.4292750652991969,-0.0717133243673933,0.5557341124908692,187,qwen3,run_001,8
25,12,10,0.6353322528363047,0.422530502597342,-0.097399211450963,0.6294375456537619,247,qwen3,run_001,9
25,12,20,0.6506137865911237,0.4293175654774021,-0.0843987771673592,0.5984660336011688,212,qwen3,run_001,9
25,12,30,0.6499756927564414,0.4270794180409043,-0.0770317207962953,0.5628926223520818,206,qwen3,run_001,9
25,12,40,0.6531578947368422,0.4293944713785814,-0.0740846848550418,0.557073289505722,190,qwen3,run_001,9
25,12,50,0.6620762711864406,0.4262228450267666,-0.0751624727853899,0.5453615777940102,189,qwen3,run_001,9
25,15,10,0.643687707641196,0.4199297229610524,-0.0976129193157287,0.6271244217190163,241,qwen3,run_001,9
25,15,20,0.6417840375586854,0.4268105448986977,-0.0816506406887236,0.5892135378621866,213,qwen3,run_001,9
25,15,30,0.6689473684210526,0.4256391826222362,-0.0747076866842052,0.5921110299488678,190,qwen3,run_001,9
25,15,40,0.6586021505376344,0.4325167886809352,-0.0716264234166595,0.5647674701728755,186,qwen3,run_001,9
25,15,50,0.6670299727520436,0.4264377776319547,-0.0760438436490503,0.5672997321645971,184,qwen3,run_001,9
30,5,10,0.6465183752417795,0.4347009252901443,-0.084692664719641,0.6241538836133431,207,qwen3,run_001,10
30,5,20,0.6430851063829788,0.4382742032540578,-0.0664203625397,0.6017044071098125,188,qwen3,run_001,10
30,5,30,0.6374301675977654,0.4469823563467738,-0.0553962765590783,0.5678841003165328,179,qwen3,run_001,10
30,5,40,0.6530491415038484,0.4427493509891873,-0.0573421965637764,0.5472120769418066,169,qwen3,run_001,10
30,5,50,0.6615194564546016,0.4447410218171691,-0.0532705262122894,0.5478938397857317,162,qwen3,run_001,10
30,7,10,0.6429933269780743,0.4338472143525204,-0.0779825245286425,0.6325785244704164,210,qwen3,run_001,10
30,7,20,0.64,0.4393357491747744,-0.0655635502021748,0.5809106403700999,195,qwen3,run_001,10
30,7,30,0.6430939226519337,0.4378955742898315,-0.0596838022799926,0.5720477233990747,181,qwen3,run_001,10
30,7,40,0.6469512195121951,0.4396120663006859,-0.0537394288244394,0.5621865108351595,164,qwen3,run_001,10
30,7,50,0.6644171779141105,0.4382932694824583,-0.0587443271728307,0.5541757974190407,163,qwen3,run_001,10
30,10,10,0.6359175662414132,0.4367889794956385,-0.0709070914327213,0.6179693206720234,204,qwen3,run_001,11
30,10,20,0.6466205428419372,0.4397205213178055,-0.0657415291971353,0.5829072315558802,188,qwen3,run_001,11
30,10,30,0.6527777777777778,0.43222284726763,-0.0649736840157916,0.5672266861456051,180,qwen3,run_001,11
30,10,40,0.6510791366906474,0.4419297431988364,-0.0574782852788541,0.5648405161918676,167,qwen3,run_001,11
30,10,50,0.6574850299401198,0.4417624738290125,-0.0589701025176161,0.5387874360847333,167,qwen3,run_001,11
