min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name
10,7,40,0.610379746835443,0.3417693064073359,0.5622461635740169,409,qwen3
10,10,10,0.5605688202247191,0.3432060382921673,0.6320192611688027,590,qwen3
10,10,20,0.5809604759881003,0.3430727945925301,0.5951992995938618,486,qwen3
10,10,30,0.5886456579263892,0.3462631336996838,0.5808750212797004,432,qwen3
10,10,40,0.6008283717318147,0.3458468468344089,0.578637612782412,401,qwen3
10,15,10,0.5617606123869172,0.3453860062481271,0.6230453075220701,596,qwen3
10,15,20,0.5835199283475145,0.3440440773847272,0.6193973588851869,461,qwen3
10,15,30,0.5832514734774067,0.3474360322544046,0.5924998176025682,424,qwen3
10,15,40,0.5895732174801942,0.3499635481928,0.5829908314890926,406,qwen3
15,5,10,0.6000521104742054,0.3435084881691658,0.630389844110995,392,qwen3
15,5,20,0.6094955489614243,0.3398803609766264,0.5947129064422773,342,qwen3
15,5,30,0.6231367465975373,0.3433865542718772,0.5937401201391085,316,qwen3
15,5,40,0.6146572104018913,0.3393728012446207,0.5610788200102143,302,qwen3
40,7,10,0.6397013067828251,0.3609525865038277,0.604683966049758,161,qwen3
40,7,20,0.6698305084745763,0.3581993638796742,0.5822369221041368,148,qwen3
40,7,30,0.6657342657342658,0.3647127265424462,0.5611031396677935,143,qwen3
40,7,40,0.6721428571428572,0.3655247805062095,0.543130912716749,140,qwen3
40,10,10,0.6445437141033823,0.3627257507299605,0.6252583963617793,157,qwen3
40,10,20,0.6641638225255972,0.3582816926024835,0.5826503562829836,147,qwen3
40,10,30,0.6605442176870748,0.3688715619890461,0.557309273085435,147,qwen3
40,10,40,0.6769005847953217,0.363739545794454,0.5641187772076169,137,qwen3
40,15,10,0.6414715719063545,0.3584284804074595,0.626450059583161,150,qwen3
40,15,20,0.6636678200692041,0.3566894125885854,0.5840365767649991,145,qwen3
40,15,30,0.6605633802816901,0.3664457881646168,0.5593764439796688,142,qwen3
40,15,40,0.6870229007633588,0.3644814882238439,0.5642160558379338,131,qwen3
15,7,10,0.602260778128286,0.3451046114134837,0.6361536029572704,388,qwen3
